UNICLASS,PRICE_NEW
Pr_20_93_33_31,24.95
Pr_20_93_52_10,44.94
Pr_20_93_52_23,77.10709677419355
Pr_20_93_52_56,39.91238095238095
Pr_20_93_52_87,22.264285714285712
Pr_20_93_71_63,5.5
Pr_20_93_71_75,36.7
Pr_20_93_71_91,102.85
Pr_20_93_76,79.475
Pr_20_93_84,21.0
Pr_20_93_84_16,21.015
Pr_20_93_85,11.4
Pr_20_93_90,89.95
Pr_20_93_90_50,6.25
Pr_20_93_95_15,189.95000000000002
Pr_20_93_95_47,11.725
Pr_20_96_96_72,27.616666666666664
Pr_20_96_97_15,24.95
Pr_20_96_97_56,3.0
Pr_20_96_97_58,180.975
Pr_20_96_97_89,185.0
Pr_25_30_30_04,6.9
Pr_25_30_30_05,179.95
Pr_25_30_30_21,118.29761904761905
Pr_25_30_30_58,5.95
Pr_25_30_30_84,437.98333333333335
Pr_25_30_30_85,135.61666666666665
Pr_25_30_36_96,2.0
Pr_25_30_85_03,1.0
Pr_25_30_85_11,22.95
Pr_25_30_85_65,179.0
Pr_25_30_86_03,39.95
Pr_25_30_86_90,39.95
Pr_25_30_90,4.975
Pr_25_30_90_12,31.450000000000003
Pr_25_30_90_14,9.0
Pr_25_30_90_16,89.95
Pr_25_30_90_32,12.969999999999999
Pr_25_30_90_34,1.0
Pr_25_30_90_37,180.86249999999998
Pr_25_30_90_85,122.13600000000001
Pr_25_30_90_86,17.5
Pr_25_31,24.95
Pr_25_31_28_94,15.95
Pr_25_31_48_76,5.0
Pr_25_31_48_94,11.283333333333331
Pr_25_57,2.25
Pr_25_57_06_02,13.95
Pr_25_57_06_31,18.95
Pr_25_57_06_47,17.95
Pr_25_57_06_76,19.35
Pr_25_57_06_94,27.95
Pr_25_57_06_97,18.5
Pr_25_57_21_44,7.6499999999999995
Pr_25_57_51,19.95
Pr_25_57_51_26,89.95
Pr_25_57_51_29,9.65
Pr_25_57_51_33,6.983333333333333
Pr_25_57_51_35,649.95
Pr_25_57_51_52,26.407142857142862
Pr_25_57_51_54,21.45
Pr_25_57_51_70,7.5
Pr_25_57_51_74,10.5
Pr_25_57_56_07,139.95
Pr_25_57_56_27,4.3
Pr_25_57_56_28,44.61666666666667
Pr_25_57_56_37,2.5
Pr_25_57_61_15,56.11666666666667
Pr_25_57_61_29,169.95
Pr_25_57_65_42,20.95
Pr_25_57_65_60,4.4
Pr_25_57_85_62,10.616666666666665
Pr_25_57_90,17.95
Pr_25_57_90_03,599.0
Pr_25_57_90_15,4.85
Pr_25_57_90_29,29.288666666666664
Pr_25_57_90_34,11.575
Pr_25_57_90_63,16.616666666666667
Pr_25_57_90_81,23.725
Pr_25_71_14_15,21.605
Pr_25_71_14_19,43.995000000000005
Pr_25_71_14_46,12.95
Pr_25_71_14_56,12.136666666666665
Pr_25_71_14_63,6.45
Pr_25_71_14_82,79.44999999999999
Pr_25_71_14_88,116.4875
Pr_25_71_14_90,8.725
Pr_25_71_14_97,10.9
Pr_25_71_18_45,35.45
Pr_25_71_22,7.709999999999999
Pr_25_71_22_84,50.6
Pr_25_71_29_24,11.5
Pr_25_71_33_14,18.28333333333333
Pr_25_71_33_16,13.575
Pr_25_71_33_33,52.95
Pr_25_71_33_34,46.95
Pr_25_71_33_37,9.116666666666667
Pr_25_71_33_38,111.96444444444444
Pr_25_71_33_40,5.5
Pr_25_71_33_42,283.9583333333333
Pr_25_71_33_46,34.95
Pr_25_71_33_47,5.5
Pr_25_71_33_88,1.0
Pr_25_71_35_06,9.375
Pr_25_71_35_32,39.95
Pr_25_71_35_37,11.95
Pr_25_71_35_47,269.95
Pr_25_71_35_61,108.85
Pr_25_71_42,29.95
Pr_25_71_42_71,899.0
Pr_25_71_43,6.5
Pr_25_71_44_53,16.95
Pr_25_71_44_64,12.466666666666667
Pr_25_71_50,284.37
Pr_25_71_50_04,47.95
Pr_25_71_50_21,80.95
Pr_25_71_50_23,9.95
Pr_25_71_50_24,80.57
Pr_25_71_50_60,29.95
Pr_25_71_50_61,25.950000000000003
Pr_25_71_50_94,14.95
Pr_25_71_51,29.95
Pr_25_71_51_02,42.46666666666667
Pr_25_71_51_03,4.95
Pr_25_71_51_16,32.0375
Pr_25_71_51_38,16.95
Pr_25_71_51_46,19.95
Pr_25_71_51_84,12.875
Pr_25_71_51_85,199.95
Pr_25_71_51_86,12.725
Pr_25_71_51_97,49.95
Pr_25_71_57_06,68.13333333333333
Pr_25_71_57_13,20.45
Pr_25_71_57_22,104.53333333333335
Pr_25_71_57_24,97.2125
Pr_25_71_57_37,6.125
Pr_25_71_57_39,9.95
Pr_25_71_57_83,58.660000000000004
Pr_25_71_70,2.25
Pr_25_71_94_22,119.95
Pr_25_71_94_23,27.326571428571427
Pr_25_71_94_46,14.879999999999999
Pr_25_71_94_51,17.95
Pr_25_71_94_52,24.150000000000002
Pr_25_71_94_98,21.360000000000003
Pr_25_71_97,519.0
Pr_25_71_97_23,14.225
Pr_25_71_97_30,6.475
Pr_25_71_97_43,9.95
Pr_25_71_97_50,8.95
Pr_25_71_97_53,8.5
