,IFC,raw
2740,discrete  accessory,IfcDiscreteAccessory
2741,discrete  accessory,IfcDiscreteAccessory
2742,discrete  accessory,IfcDiscreteAccessory
2743,discrete  accessory,IfcDiscreteAccessory
2744,discrete  accessory,IfcDiscreteAccessory
2745,discrete  accessory,IfcDiscreteAccessory
2746,fastener,IfcFastener
2747,fastener,IfcFastener
2748,fastener,IfcFastener
2749,fastener,IfcFastener
2750,fastener,IfcFastener
2751,mechanical  fastener,IfcMechanicalFastener
2752,mechanical  fastener,IfcMechanicalFastener
2753,mechanical  fastener,IfcMechanicalFastener
2754,mechanical  fastener,IfcMechanicalFastener
2755,mechanical  fastener,IfcMechanicalFastener
2756,mechanical  fastener,IfcMechanicalFastener
2757,mechanical  fastener,IfcMechanicalFastener
2758,mechanical  fastener,IfcMechanicalFastener
2759,mechanical  fastener,IfcMechanicalFastener
2760,mechanical  fastener,IfcMechanicalFastener
2761,mechanical  fastener,IfcMechanicalFastener
2762,mechanical  fastener,IfcMechanicalFastener
2763,mechanical  fastener,IfcMechanicalFastener
2764,mechanical  fastener,IfcMechanicalFastener
2765,mechanical  fastener,IfcMechanicalFastener
2766,mechanical  fastener,IfcMechanicalFastener
2767,mechanical  fastener,IfcMechanicalFastener
2768,furniture,IfcFurniture
2769,furniture,IfcFurniture
2770,furniture,IfcFurniture
2771,furniture,IfcFurniture
2772,furniture,IfcFurniture
2773,furniture,IfcFurniture
2774,furniture,IfcFurniture
2775,furniture,IfcFurniture
2776,furniture,IfcFurniture
2777,furniture,IfcFurniture
2778,system furniture  element,IfcSystemFurnitureElement
2779,system furniture  element,IfcSystemFurnitureElement
2780,system furniture  element,IfcSystemFurnitureElement
2781,system furniture  element,IfcSystemFurnitureElement
2782,system furniture  element,IfcSystemFurnitureElement
2783,course,IfcCourse
2784,course,IfcCourse
2785,course,IfcCourse
2786,course,IfcCourse
2787,course,IfcCourse
2788,course,IfcCourse
2789,course,IfcCourse
2790,course,IfcCourse
2791,earthworks  cut,IfcEarthworksCut
2792,earthworks  cut,IfcEarthworksCut
2793,earthworks  cut,IfcEarthworksCut
2794,earthworks  cut,IfcEarthworksCut
2795,earthworks  cut,IfcEarthworksCut
2796,earthworks  cut,IfcEarthworksCut
2797,earthworks  cut,IfcEarthworksCut
2798,earthworks  cut,IfcEarthworksCut
2799,earthworks  cut,IfcEarthworksCut
2800,earthworks  cut,IfcEarthworksCut
2801,earthworks  cut,IfcEarthworksCut
2802,earthworks  fill,IfcEarthworksFill
2803,earthworks  fill,IfcEarthworksFill
2804,earthworks  fill,IfcEarthworksFill
2805,earthworks  fill,IfcEarthworksFill
2806,earthworks  fill,IfcEarthworksFill
2807,earthworks  fill,IfcEarthworksFill
2808,earthworks  fill,IfcEarthworksFill
2809,earthworks  fill,IfcEarthworksFill
2810,earthworks  fill,IfcEarthworksFill
2811,geotechnical  stratum,IfcGeotechnicalStratum
2812,geotechnical  stratum,IfcGeotechnicalStratum
2813,geotechnical  stratum,IfcGeotechnicalStratum
2814,geotechnical  stratum,IfcGeotechnicalStratum
2815,geotechnical  stratum,IfcGeotechnicalStratum
2816,pavement,IfcPavement
2817,pavement,IfcPavement
2818,pavement,IfcPavement
2819,pavement,IfcPavement
2820,reinforced  soil,IfcReinforcedSoil
2821,reinforced  soil,IfcReinforcedSoil
2822,reinforced  soil,IfcReinforcedSoil
2823,reinforced  soil,IfcReinforcedSoil
2824,reinforced  soil,IfcReinforcedSoil
2825,reinforced  soil,IfcReinforcedSoil
2826,reinforced  soil,IfcReinforcedSoil
2827,reinforced  soil,IfcReinforcedSoil
2828,sign,IfcSign
2829,sign,IfcSign
2830,sign,IfcSign
2831,sign,IfcSign
2832,sign,IfcSign
2833,signal,IfcSignal
2834,signal,IfcSignal
2835,signal,IfcSignal
2836,signal,IfcSignal
2837,signal,IfcSignal
2838,project  order,IfcProjectOrder
2839,project  order,IfcProjectOrder
2840,project  order,IfcProjectOrder
2841,project  order,IfcProjectOrder
2842,project  order,IfcProjectOrder
2843,structural curve  action,IfcStructuralCurveAction
2844,structural curve  action,IfcStructuralCurveAction
2845,structural curve  action,IfcStructuralCurveAction
2846,structural curve  action,IfcStructuralCurveAction
2847,structural curve  action,IfcStructuralCurveAction
2848,structural curve  action,IfcStructuralCurveAction
2849,structural curve  action,IfcStructuralCurveAction
2850,structural curve  action,IfcStructuralCurveAction
2851,structural curve  action,IfcStructuralCurveAction
2852,structural curve  member,IfcStructuralCurveMember
2853,structural curve  member,IfcStructuralCurveMember
2854,structural curve  member,IfcStructuralCurveMember
2855,structural curve  member,IfcStructuralCurveMember
2856,structural curve  member,IfcStructuralCurveMember
2857,structural curve  member,IfcStructuralCurveMember
2858,structural curve  member,IfcStructuralCurveMember
2859,structural curve  reaction,IfcStructuralCurveReaction
2860,structural curve  reaction,IfcStructuralCurveReaction
2861,structural curve  reaction,IfcStructuralCurveReaction
2862,structural curve  reaction,IfcStructuralCurveReaction
2863,structural curve  reaction,IfcStructuralCurveReaction
2864,structural curve  reaction,IfcStructuralCurveReaction
2865,structural curve  reaction,IfcStructuralCurveReaction
2866,structural curve  reaction,IfcStructuralCurveReaction
2867,structural curve  reaction,IfcStructuralCurveReaction
2868,structural surface  action,IfcStructuralSurfaceAction
2869,structural surface  action,IfcStructuralSurfaceAction
2870,structural surface  action,IfcStructuralSurfaceAction
2871,structural surface  action,IfcStructuralSurfaceAction
2872,structural surface  action,IfcStructuralSurfaceAction
2873,structural surface  action,IfcStructuralSurfaceAction
2874,structural surface  member,IfcStructuralSurfaceMember
2875,structural surface  member,IfcStructuralSurfaceMember
2876,structural surface  member,IfcStructuralSurfaceMember
2877,structural surface  member,IfcStructuralSurfaceMember
2878,structural surface  member,IfcStructuralSurfaceMember
2879,structural surface  reaction,IfcStructuralSurfaceReaction
2880,structural surface  reaction,IfcStructuralSurfaceReaction
2881,structural surface  reaction,IfcStructuralSurfaceReaction
2882,structural surface  reaction,IfcStructuralSurfaceReaction
2883,structural surface  reaction,IfcStructuralSurfaceReaction
2884,structural surface  reaction,IfcStructuralSurfaceReaction
2885,caisson  foundation,IfcCaissonFoundation
2886,caisson  foundation,IfcCaissonFoundation
2887,caisson  foundation,IfcCaissonFoundation
2888,caisson  foundation,IfcCaissonFoundation
2889,footing,IfcFooting
2890,footing,IfcFooting
2891,footing,IfcFooting
2892,footing,IfcFooting
2893,footing,IfcFooting
2894,footing,IfcFooting
2895,footing,IfcFooting
2896,pile,IfcPile
2897,pile,IfcPile
2898,pile,IfcPile
2899,pile,IfcPile
2900,pile,IfcPile
2901,pile,IfcPile
2902,pile,IfcPile
2903,pile,IfcPile
2904,reinforcing  bar,IfcReinforcingBar
2905,reinforcing  bar,IfcReinforcingBar
2906,reinforcing  bar,IfcReinforcingBar
2907,reinforcing  bar,IfcReinforcingBar
2908,reinforcing  bar,IfcReinforcingBar
2909,reinforcing  bar,IfcReinforcingBar
2910,reinforcing  bar,IfcReinforcingBar
2911,reinforcing  bar,IfcReinforcingBar
2912,reinforcing  bar,IfcReinforcingBar
2913,reinforcing  bar,IfcReinforcingBar
2914,reinforcing  bar,IfcReinforcingBar
2915,reinforcing  mesh,IfcReinforcingMesh
2916,reinforcing  mesh,IfcReinforcingMesh
2917,surface  feature,IfcSurfaceFeature
2918,surface  feature,IfcSurfaceFeature
2919,surface  feature,IfcSurfaceFeature
2920,surface  feature,IfcSurfaceFeature
2921,surface  feature,IfcSurfaceFeature
2922,surface  feature,IfcSurfaceFeature
2923,surface  feature,IfcSurfaceFeature
2924,surface  feature,IfcSurfaceFeature
2925,surface  feature,IfcSurfaceFeature
2926,surface  feature,IfcSurfaceFeature
2927,surface  feature,IfcSurfaceFeature
2928,surface  feature,IfcSurfaceFeature
2929,surface  feature,IfcSurfaceFeature
2930,tendon,IfcTendon
2931,tendon,IfcTendon
2932,tendon,IfcTendon
2933,tendon,IfcTendon
2934,tendon,IfcTendon
2935,tendon,IfcTendon
2936,tendon  anchor,IfcTendonAnchor
2937,tendon  anchor,IfcTendonAnchor
2938,tendon  anchor,IfcTendonAnchor
2939,tendon  anchor,IfcTendonAnchor
2940,tendon  anchor,IfcTendonAnchor
2941,tendon  conduit,IfcTendonConduit
2942,tendon  conduit,IfcTendonConduit
2943,tendon  conduit,IfcTendonConduit
2944,tendon  conduit,IfcTendonConduit
2945,tendon  conduit,IfcTendonConduit
2946,tendon  conduit,IfcTendonConduit
2947,tendon  conduit,IfcTendonConduit
2948,voiding  feature,IfcVoidingFeature
2949,voiding  feature,IfcVoidingFeature
2950,voiding  feature,IfcVoidingFeature
2951,voiding  feature,IfcVoidingFeature
2952,voiding  feature,IfcVoidingFeature
2953,voiding  feature,IfcVoidingFeature
2954,voiding  feature,IfcVoidingFeature
2955,voiding  feature,IfcVoidingFeature
