,IFC,raw
1512,bilinear,IfcStructuralSurfaceAction.BILINEAR
1513,cons t,IfcStructuralSurfaceAction.CONST
1514,discrete,IfcStructuralSurfaceAction.DISCRETE
1515,iso contour,IfcStructuralSurfaceAction.ISOCONTOUR
1516,user defined,IfcStructuralSurfaceAction.USERDEFINED
1517,not defined,IfcStructuralSurfaceAction.NOTDEFINED
1518,bending_ element,IfcStructuralSurfaceMember.BENDING_ELEMENT
1519,membrane_ element,IfcStructuralSurfaceMember.MEMBRANE_ELEMENT
1520,shell,IfcStructuralSurfaceMember.SHELL
1521,user defined,IfcStructuralSurfaceMember.USERDEFINED
1522,not defined,IfcStructuralSurfaceMember.NOTDEFINED
1523,bilinear,IfcStructuralSurfaceReaction.BILINEAR
1524,cons t,IfcStructuralSurfaceReaction.CONST
1525,discrete,IfcStructuralSurfaceReaction.DISCRETE
1526,iso contour,IfcStructuralSurfaceReaction.ISOCONTOUR
1527,user defined,IfcStructuralSurfaceReaction.USERDEFINED
1528,not defined,IfcStructuralSurfaceReaction.NOTDEFINED
1529,caisson,IfcCaissonFoundation.CAISSON
1530,well,IfcCaissonFoundation.WELL
1531,user defined,IfcCaissonFoundation.USERDEFINED
1532,not defined,IfcCaissonFoundation.NOTDEFINED
1533,caisson_ foundation,IfcFooting.CAISSON_FOUNDATION
1534, footing_ beam,IfcFooting.FOOTING_BEAM
1535,pad_  footing,IfcFooting.PAD_FOOTING
1536,pile_ cap,IfcFooting.PILE_CAP
1537,strip_  footing,IfcFooting.STRIP_FOOTING
1538,user defined,IfcFooting.USERDEFINED
1539,not defined,IfcFooting.NOTDEFINED
1540,bored,IfcPile.BORED
1541,cohesion,IfcPile.COHESION
1542,driven,IfcPile.DRIVEN
1543,friction,IfcPile.FRICTION
1544,jet grouting,IfcPile.JETGROUTING
1545,support,IfcPile.SUPPORT
1546,user defined,IfcPile.USERDEFINED
1547,not defined,IfcPile.NOTDEFINED
1548,anchoring,IfcReinforcingBar.ANCHORING
1549,edge,IfcReinforcingBar.EDGE
1550,ligature,IfcReinforcingBar.LIGATURE
1551,main,IfcReinforcingBar.MAIN
1552,punching,IfcReinforcingBar.PUNCHING
1553,ring,IfcReinforcingBar.RING
1554,shear,IfcReinforcingBar.SHEAR
1555,space bar,IfcReinforcingBar.SPACEBAR
1556,stud,IfcReinforcingBar.STUD
1557,user defined,IfcReinforcingBar.USERDEFINED
1558,not defined,IfcReinforcingBar.NOTDEFINED
1559,user defined,IfcReinforcingMesh.USERDEFINED
1560,not defined,IfcReinforcingMesh.NOTDEFINED
1561,defect,IfcSurfaceFeature.DEFECT
